State,Pop_density
Andaman and Nicobar Islands,46
Andhra Pradesh,308
Arunachal Pradesh,17
Assam,398
Bihar,1106
Chandigarh,9258
Chhattisgarh,189
Dadra Nagar Haveli,700
Daman and Diu,2191
Delhi,11320
Goa,394
Gujarat,308
Haryana,573
Himachal Pradesh,123
Jammu and Kashmir,124
Jharkhand,414
Karnataka,319
Kerala,860
Lakshadweep,2149
Ladakh,5
Madhya Pradesh,236
Maharashtra,365
Manipur,115
Meghalaya,132
Mizoram,52
Nagaland,119
Odisha,270
Puducherry,2547
Punjab,551
Rajasthan,200
Sikkim,86
Tamil Nadu,555
Telangana,307
Tripura,350
Uttar Pradesh,829
Uttarakhand,189
West Bengal,1028
